id,text,author,creation_date,favorites,retweets,upvotes,average_favorites,max_favorites,average_retweets,max_retweets,average_upvotes,max_upvotes,follower_count,account_creation_date,type
184070,I let a blind man borrow some money the other day ||| He said he'll pay me back the next time he saw me,Watchadoinfoo,2014-11-19,0,0,59,0,0,0,0,162.5540489213005,10017,0,0,1
179078,"My girlfriend told me that I never think for myself. ||| My girlfriend told me that I never think for myself. How should I respond?

Source: http://qr.ae/xUchD",88Paws,2014-10-13,0,0,28,0,0,0,0,162.5540489213005,10017,0,0,1
138737,must be amazing the first time a musician hears their song while on hold at bank of america,zoeklar,2015-01-08 19:30:12,44,6,0,38.693186627168856,5605,10.100296233601354,6437,0,0,11405,2011-03-29 16:55:03,0
103209,"everything bad about me is b/c of genetics. however, everything good--you know thats all me baby",recklessfarmer,2014-05-29 16:59:02,2,0,0,5.495726495726496,410,1.0897435897435896,167,0,0,643,2012-11-19 03:42:50,0
170197,"How did the hippie remember the number of wives he had? ||| He counted 1 Mississippi, 2 Mississippi, 3 Mississippi, 4 Mississippi...",memarianomusic,2014-08-05,0,0,36,0,0,0,0,162.5540489213005,10017,0,0,1
118387,My preseason Super Bowl prediction was the ravens win it. So I guess that means I gotta root for them today :-/,shlancaster39,2013-01-20 22:56:54,1,0,0,1.345,13,0.19,5,0,0,211,2012-06-04 11:39:27,0
147840,"What kind of nuts go on your feet? ||| *Sigh*...


Cashews. ",beefcube5,2013-05-15,0,0,13,0,0,0,0,162.5540489213005,10017,0,0,1
190506,What do you get when you cross a cat and a drunk guy? ||| A trip to the hospital. ,queenoftheunicorns,2015-01-01,0,0,0,0,0,0,0,162.5540489213005,10017,0,0,1
139891,My mom probably had bobbing for apples at my birthday parties to catch a glimpse of all of my shitty friends drowning.,zoeklar,2013-10-16 19:57:14,28,3,0,38.693186627168856,5605,10.100296233601354,6437,0,0,11405,2011-03-29 16:55:03,0
49089,D'you hear about the watchmaker whose wife divorced him? He made plenty of time for her but turns out he was fucking a bunch of other women.,growlygrego,2014-03-28 17:02:25,38,9,0,112.03535353535354,8283,39.067676767676765,5628,0,0,26601,2011-02-27 06:39:10,0
186293,Meanwhile in business news... ||| ...balloon prices are plummeting. Experts are putting it down to a poor inflation rate,Patisacunt,2014-12-03,0,0,193,0,0,0,0,162.5540489213005,10017,0,0,1
192001,You can lead a horse to water but you can't make him drink... ||| Not if Guantanamo Bay has anything to say about it. ,ZornFictitious,2015-01-09,0,0,2,0,0,0,0,162.5540489213005,10017,0,0,1
38865,ssure. ill concede that this landmark decision is a step in the right direction. BUt people who pre-order games are still getting swindled .,dril,2015-06-26 16:32:29,3563,1950,0,1591.931453362256,51930,656.099349240781,33855,0,0,313283,2008-09-15 17:21:54,0
189792,Why does LeBron James wear high socks? ||| His Cavs can't handle the Heat ,YourJokeExplained,2014-12-26,0,0,29,0,0,0,0,162.5540489213005,10017,0,0,1
184373,whats white with red stripes and crawls slowly over the floor? ||| Freshly whipped masochist!,captaincondor1947,2014-11-21,0,0,1,0,0,0,0,162.5540489213005,10017,0,0,1
100861,jolly rancher stuck to my bottom,probirdrights,2014-02-19 03:46:03,1473,1192,0,1787.8250355618777,14665,1290.0014224751067,15522,0,0,260599,2011-12-28 01:48:16,0
30448,"Proposal: parental control blocks for Twitter, but they block what your parents can see",danaschwartzzz,2016-01-12 00:56:42,87,13,0,113.13089509143407,3258,28.212704523580367,1336,0,0,16924,2011-07-07 17:42:14,0
134061,Vince Vaughn and Really Bad Premise Team Up Once Again for New Movie,usedwigs,2015-03-13 16:18:17,28,5,0,36.99818181818182,1464,7.5218181818181815,745,0,0,9143,2008-08-07 16:32:49,0
178844,What did one lesbian frog say to the other? ||| We do taste like chicken.,Morganization,2014-10-11,0,0,17,0,0,0,0,162.5540489213005,10017,0,0,1
162312,"Jesus is watching... ||| A burglar one night decides he's going to break into a home, he notices a home alone and promptly makes his way.
   He heads to a window looks around and spots a tv. He then proceeds to enter the home through the window. 
   
   Upon entering the home he hears a voice, ""Jesus is watching..."" frightened he turns his flash light on but finds nothing and thinks nothing of it. 
  He continues to the tv when he hears the voice again, ""Jesus is watching..."" sure that he heard a voice he frantically looks for his flash light and points it into the direction he heard the voice and finds nothing. He continues his search until he stumbles across a Parrott in a cage. 
   Curious he asks the Parrott it's name. It replies,""Moses"".
   The burglar laughs and asks, ""what kind of owners name a Parrott Moses?!""
   The Parrott replies again, ""The same one who names the Rottweiler Jesus.""",dago15,2014-04-25,0,0,19,0,0,0,0,162.5540489213005,10017,0,0,1
74061,"Started taking a drink every time someone said ""With all due respect."" Ran out of booze and moved on to nail polish. #DemDebate",kibblesmith,2015-11-15 03:22:06,55,11,0,41.713940370668816,1272,9.991941982272362,597,0,0,19430,2008-05-03 20:42:01,0
91854,trying to kiss the behind of a hummingbird in midflight,nytminuscontext,2016-01-29 14:19:19,447,179,0,331.4253266957063,2613,225.9673304293715,2627,0,0,95753,2013-11-12 03:15:23,0
91719,increasingly unappealing and uninteresting,nytminuscontext,2016-03-13 18:17:07,1023,919,0,331.4253266957063,2613,225.9673304293715,2627,0,0,95753,2013-11-12 03:15:23,0
32605,"This hotel's beds are so good- that Adam Levine could be all  
""Can I spend the night?"" And I'd be all ""SWEET CHRIST YES!"" (I'm weak).",debradigiovanni,2015-10-17 08:12:28,28,2,0,35.654859967051074,379,6.85337726523888,459,0,0,57897,2009-11-06 23:50:10,0
70302,My hair looks like it rides the bus at night,karenkilgariff,2014-10-17 06:17:07,325,96,0,143.21645796064402,5955,33.7185450208706,3338,0,0,40865,2011-07-25 02:59:09,0
48602,"Actually when you think about it, all of us are technically afterbirth. Ok kids, please turn your Bible coloring book to Leviticus, page 24.",growlygrego,2014-06-08 22:33:37,35,5,0,112.03535353535354,8283,39.067676767676765,5628,0,0,26601,2011-02-27 06:39:10,0
20928,"At this point, all I can do is brace myself for another white-hot, balls-to-the-wall Mother's Day weekend",bridger_w,2014-05-09 20:56:20,372,122,0,316.638807904114,20833,92.30029154518951,12198,0,0,83074,2009-05-07 21:53:35,0
91196,A movie studio optioned my life story http://t.co/PLYFTypqfO,nickwiger,2015-02-10 05:38:17,40,6,0,94.95642201834862,6443,34.14678899082569,4739,0,0,11569,2011-01-08 06:53:07,0
70374,"BOSS: Wanna be sued by a celebrity for a fun meta prank in modern times? Fun, fun!
ME: [walks directly into the ocean]",katiemcvay,2016-03-21 22:03:10,5,0,0,7.368544600938967,153,0.8724569640062598,55,0,0,3338,2009-03-05 03:32:34,0
88682,cc: @AxlRose https://t.co/vL0jkYPfCa,neilhamburger,2016-01-02 06:39:27,13,3,0,79.10606060606061,1124,34.61845730027548,518,0,0,85587,2009-04-11 19:36:35,0
19886,Can't believe my dream is nearly within reach http://t.co/sjJa3BGLy5,bridger_w,2015-09-13 02:43:42,916,240,0,316.638807904114,20833,92.30029154518951,12198,0,0,83074,2009-05-07 21:53:35,0
112364,God punishes public flip flop wearers by making them walk barefoot on the filthy airport security carpet,scharpling,2015-09-07 19:44:39,99,22,0,73.5042735042735,1280,21.43482905982906,450,0,0,100803,2008-12-01 02:36:33,0
111230,make sure you drink enough coffee to completely defeat the purpose of your anxiety meds!,sbellelauren,2014-12-08 17:52:48,151,45,0,90.90330188679245,2624,26.28490566037736,1273,0,0,51475,2008-06-09 17:18:47,0
173428,What do you call a Jewish Pokémon player? ||| Ash.,johnny_chingas,2014-09-02,0,0,0,0,0,0,0,162.5540489213005,10017,0,0,1
25865,"*comedy exam results* ""lol take it to twitter, dingdong""",ch000ch,2013-07-27 05:24:42,6,0,0,696.3335025380711,52097,299.148730964467,40143,0,0,114993,2011-01-24 17:14:48,0
46113,"I'm banned from the Louvre because breakdancing cop makes all their ""art"" look like shit",fred_delicious,2014-09-16 18:37:19,182,21,0,524.0530108080288,17369,207.54143077714875,12098,0,0,123146,2012-08-28 19:38:31,0
170736,"Bill Gates in an airport lounge ||| I was in the VIP lounge last week en route to Seattle. Whilst in the lounge, I noticed Bill Gates sitting on the chesterfield enjoying a cognac. 

I was meeting a very important client who was also flying to Seattle with me but she was running a bit late. Being a forward type of guy, I approached Mr. Gates and introduced myself. I explained to him that I was conducting some very important business and how I would appreciate it if he could throw a quick ""Hello Chris"" at me when I was with my client. 

He agreed. Ten minutes later while I was conversing with my client, I felt a tap on my shoulder. It was Bill Gates. I turned around and looked up at him. He said, ""Hi Chris, what's happening?"" To which I replied:

""Fuck off Gates, I'm in a meeting."" ",Said_no_juan_ever,2014-08-10,0,0,4146,0,0,0,0,162.5540489213005,10017,0,0,1
1861,"Lots of TV ads during #GoldenGlobes saying ""See Star Wars"". Also, ""Drink Water"".",andyrichter,2016-01-11 03:55:32,268,35,0,520.209090909091,4695,123.47045454545454,2448,0,0,746534,2010-07-11 19:53:21,0
113059,"BAE: come over

ME: im busy

BAE: but im horny

ME: sory no

BAE: im wearing that outfit u like

ME: which 1

BEE: https://t.co/FY4d13eYAy",seinfeld2000,2016-01-17 03:06:28,889,242,0,544.1748400852879,29782,233.7492537313433,21644,0,0,109251,2013-01-12 02:17:49,0
37016,Did i expect too much to think that Paula Deen's intro on Dancing With the Stars would explain why Paula Deen is on Dancing With the Stars?,ditzkoff,2015-09-15 00:53:50,15,2,0,173.78342653787493,13660,103.25470259278089,11191,0,0,55279,2009-10-11 01:11:07,0
128614,"Just wrote this poem. Not sure if it's good, but it's based on a true story:

Just unsubscribed to Groupon
While in Tucson",toddbarry,2015-09-14 00:55:58,170,20,0,68.08484408992024,1060,10.676577229876722,213,0,0,282740,2008-11-17 23:32:30,0
100164,TREAD LIGHTLY,pdubslax,2013-08-12 04:42:27,3,0,0,2.01743679163034,22,0.23278116826503922,6,0,0,605,2011-10-03 22:04:45,0
48279,"[Jeopardy]
What is My Dick Hurts?
'No. Pam?
WHEN is My Dick Hurts?
'No. Ed?
HOW is My Dick Hurts?
'No, Salem. The capital of Oregon is Salem",growlygrego,2014-08-19 12:03:20,186,45,0,112.03535353535354,8283,39.067676767676765,5628,0,0,26601,2011-02-27 06:39:10,0
152640,"My crush's ex-boyfriend was into wearing diapers ||| I asked her best friend what she likes in a guy. She said, ""Depends...""",justablur,2013-08-28,0,0,4,0,0,0,0,162.5540489213005,10017,0,0,1
67051,PORTLAND: Hide yo brunch. Hide yo fuckboys. I'm here. Doing these shows: https://t.co/ecKWtPUtss,justaboutglad,2015-12-07 17:50:19,16,2,0,29.557642149191445,760,4.243088158581116,308,0,0,14528,2011-03-30 07:54:40,0
64167,Eddie Redmayne chases Oscars like Rajon Rondo chases assists.,joshgondelman,2016-02-29 02:12:13,57,15,0,126.90883190883191,1409,30.316239316239315,872,0,0,65816,2009-08-30 12:40:22,0
192542,Three French cats were sailing... ||| There was a hole in the boat and un deux trois quatre cinq.,NadesNBlades,2015-01-12,0,0,0,0,0,0,0,162.5540489213005,10017,0,0,1
98020,am i from tennessee? cause i’m the only ten i see,pakalupapito,2015-05-27 01:01:08,3244,1965,0,4901.15602189781,97798,4563.639598540146,97626,0,0,1494799,2013-07-10 06:20:32,0
37301,"C’mon, Don Lemon, you have to at least give a spoiler alert. http://t.co/mzmkC41nPW",ditzkoff,2015-06-23 03:18:03,115,77,0,173.78342653787493,13660,103.25470259278089,11191,0,0,55279,2009-10-11 01:11:07,0
116005,"20s: I want a career that will make me happy
30s: I want a comfortable couch",senderblock23,2015-10-02 18:21:02,127,15,0,133.6904761904762,6975,34.47895902547065,3340,0,0,37495,2010-05-28 06:33:36,0
147358,"It's the little differences that can be the most important. ||| For example, the difference between getting laid at your high-school reunion and getting laid at your family reunion.",a_random_hobo,2013-05-06,0,0,0,0,0,0,0,162.5540489213005,10017,0,0,1
148881,What do you do if an epileptic has a seizure in your bath? ||| Throw your laundry in!,assfixiated,2013-06-05,0,0,62,0,0,0,0,162.5540489213005,10017,0,0,1
104412,does anyone wanna meetup and re-enact that movie 'The Strangers' real quick?,robhuebel,2015-02-27 21:27:13,70,20,0,83.89421540428252,2692,43.97347395333973,1432,0,0,568159,2007-05-31 19:08:21,0
112454,The Best Show is LIVE in ONE MINUTE! A conversation with JACK BLACK! All sorts of other stuff! #VerifyAPMike http://t.co/Z33kjQWgMy,scharpling,2015-08-12 01:00:25,13,11,0,73.5042735042735,1280,21.43482905982906,450,0,0,100803,2008-12-01 02:36:33,0
99382,Urgent question for anyone who drinks wine: what is rosé and how can you get it in a box,pdubslax,2015-09-23 05:12:40,0,0,0,2.01743679163034,22,0.23278116826503922,6,0,0,605,2011-10-03 22:04:45,0
102595,"cant stand corn mazes , due mostly to the fact that Im terrified of vegetables and puzzle games",recklessfarmer,2015-08-07 16:44:33,2,0,0,5.495726495726496,410,1.0897435897435896,167,0,0,643,2012-11-19 03:42:50,0
2777,"Missy Elliott had to get an extreme makeover to get on tv again, meanwhile Liam Neeson Bryan Cranston &amp; Jeff Daniels are haggard dustshits",annadrezen,2015-02-02 01:40:57,50,18,0,34.53091787439614,5829,10.180676328502415,2285,0,0,8011,2009-09-23 05:07:10,0
51605,Did you know they made a prequel to Clue called Clueless?,hamptonyount,2015-03-13 00:07:55,6,0,0,18.250752256770312,576,3.2377131394182546,190,0,0,8422,2010-06-07 08:39:44,0
185705,"They say you shouldn't smoke or drink when pregnant. I disagree. ||| Best give it a shot before you splash out on another abortion. 


Besides there are only so much hangers in the world.",blackbeard97,2014-11-30,0,0,0,0,0,0,0,162.5540489213005,10017,0,0,1
127598,"These Time Warner commercials make we wish I had a son so I can hear him talk about ""megs.""",toddbarry,2016-03-12 21:52:38,31,6,0,68.08484408992024,1060,10.676577229876722,213,0,0,282740,2008-11-17 23:32:30,0
181859,"The two steel cylinders. ||| A company was doing an overall human research program and one of the experiments that was next was the two steel cylinders experiment. This is where they would lock two people and two steel cylinders in a room for an extended period of time and then observe the results. They began by putting two people from Switzerland in the first room, two people from Germany in the second room, and two people from Kentucky in the third room. They gave each of the groups the two steel cylinders and the necessary provisions to survive for two weeks and locked them in their separate rooms. Two weeks later, the men of the company return to the facility and open the first room with the two Swiss in it. What they find is just short of unbelievable. The two Swiss had precisely machined 100 pocket watches out of the steel cylinders. All 100 watches had thousands of parts and were in time with one another. The second hands even ticked in unison. The researchers were amazed. They go to the second room where the Germans were left. Upon opening the door, they uncover the two most incredible, painstakingly crafted, precision diesel engines their eyes had ever seen. Both engines were identical in every way. Both engines could run an entire week on one gallon of fuel. The researchers were floored. They can't wait to see what the Kentuckians have is store for them. They get to the third room where the Kentuckians have been for two weeks as well. They open the door and look inside. One of the cylinders is broken and the other one is missing.",toxicpaper,2014-11-02,0,0,0,0,0,0,0,162.5540489213005,10017,0,0,1
83286,You control your life by controlling your time,memeoji,2016-02-11 17:08:41,3,0,0,2.9625117150890348,73,0.6785379568884724,56,0,0,2683,2012-09-25 02:40:46,0
151344,What kind of bees produce milk? ||| Boo-bees,scouris,2013-07-30,0,0,0,0,0,0,0,162.5540489213005,10017,0,0,1
117930,My Lyft driver thinks I'm dumb.,shelbyfero,2015-07-25 02:06:24,46,4,0,100.902,786,13.643,512,0,0,119448,2009-04-25 00:59:11,0
143728,"Why do chemists call helium, curium, and barium 'the medical elements'? ||| Because, if you can't 'helium' or 'curium', you 'BARIUM'!",HarshTruth22,2013-02-18,0,0,44,0,0,0,0,162.5540489213005,10017,0,0,1
36033,"BUSH ""My mom is the strongest woman I know""
TRUMP ""She should be running""
😭😭😭😭",ditzkoff,2016-02-14 02:34:52,244,118,0,173.78342653787493,13660,103.25470259278089,11191,0,0,55279,2009-10-11 01:11:07,0
163942,"A black guy in a bar in Louisiana... ||| A black guy is sitting in a bar in Louisiana, drinking a beer. A gay guy walks in, gets a beer, and sits at the same table as the black guy. For a few minutes, they both sit there in silence, drinking their beers. Suddenly, the gay guy asks the black guy if he wants a blow job. The black guy starts kicking his ass, throwing all the punches and kicks he can in a span of 5 seconds, then throws the gay guy out of the bar. The bouncer, impressed by the ass whooping, asks the black guy what exactly was said. ""Im not too sure, "" said the black guy, ""but i know it had the word 'job' in it""",Quasimdo,2014-05-22,0,0,0,0,0,0,0,162.5540489213005,10017,0,0,1
52563,Got so fucked up last night I almost followed a Steve Stifler parody account,handsomeboiii,2014-02-24 22:25:52,3,0,0,2.5842482100238664,39,0.2739856801909308,11,0,0,185,2012-03-19 21:02:16,0
1729,"My son just told me, ""When you fart it sounds like you got an answer wrong on a game show.""",andyrichter,2016-02-07 01:32:06,1076,230,0,520.209090909091,4695,123.47045454545454,2448,0,0,746534,2010-07-11 19:53:21,0
173118,"I believe, if you're in Special Ed, and you're late to class... ||| ...it's politically incorrect to say you're tardy.",Teban100,2014-08-30,0,0,87,0,0,0,0,162.5540489213005,10017,0,0,1
67653,"The ""c"" word for women: cunt. The ""c"" word for men: commitment.",justaboutglad,2015-05-13 21:08:23,25,3,0,29.557642149191445,760,4.243088158581116,308,0,0,14528,2011-03-30 07:54:40,0
170914,Putting random stuff in peoples carts. ||| https://www.youtube.com/watch?v=XYmoaJoyZTo,ernijs12,2014-08-12,0,0,0,0,0,0,0,162.5540489213005,10017,0,0,1
113002,"What if linkin park was modarn

linkin bio",seinfeld2000,2016-01-31 23:15:59,404,94,0,544.1748400852879,29782,233.7492537313433,21644,0,0,109251,2013-01-12 02:17:49,0
179474,"What's the difference between LSD and LDS (Latter Day Saints)? ||| one you take with a sugar cube, the other with a grain of salt :P",faglestein,2014-10-16,0,0,78,0,0,0,0,162.5540489213005,10017,0,0,1
151205,"Beautiful Buns ||| From my father.

So there was this man and woman whom had been married for many years and were still very much in love.  Their anniversary was coming up and the wife wanted to do something very special for her husband and comes up with a wonderful gesture.

She goes to a tattoo parlor and explains to the artist,  ""Every morning, for all the years we've been married, my husband grabs my behind and says 'what beautiful buns you have' so i would like to get a tattoo where is says 'beautiful' on one cheek and 'buns"" on the other"".

The tattoo artist agrees this is a wonderful gesture but says ""unfortunately it will look uneven since you have such small buns"".

Disappointed, the wife finally comes up with an idea, ""well... what if we just but a 'B' on each cheek, it's only for my husband to see and he'll know what it means?""

The artist thinks is a wonderful compromise and proceeds to ink out eloquent B's, one on each cheek.

The wife goes home and is excited to share with her husband.  A couple of days go by and finally it is the night of their anniversary.  After a nice dinner and a little dancing they arrive back home.

""My lovely husband,"" she says, ""because i know how much you love my beautiful buns, i got you something very special for this anniversary.""  
She then turns around, undoes her jeans, slips them down, and bends over to show her husband her amazing gift.

""So,"" she asks ""what do you think?""

""It's great"" he says ""but who the hell is Bob?""",fossilized_poop,2013-07-27,0,0,65,0,0,0,0,162.5540489213005,10017,0,0,1
160995,"Did you hear about the Furry who started frequenting SomethingAwful? ||| Hare today, Goon tomorrow!",Ranzear,2014-03-25,0,0,0,0,0,0,0,162.5540489213005,10017,0,0,1
76293,How do I get on a Meme Team at UCB?,lynnbixenspan,2016-03-16 12:59:38,4,0,0,18.20738137082601,1258,4.388400702987698,579,0,0,14243,2010-06-12 23:08:20,0
24984,this year's resolution is to respond to every text with LOL regardless of how somber the message,ch000ch,2013-12-31 19:32:51,394,224,0,696.3335025380711,52097,299.148730964467,40143,0,0,114993,2011-01-24 17:14:48,0
151828,"A mailman is working his last day on a route he's been doing for 20 years ||| He gets to the first house and a man greets him at the door with a very expensive bottle of wine and thanks him for his service. He arrives at the next house and is greeted by the entire family with a box of Cuban cigars and everyone wishes him a happy retirement.

He arrives at the third house where he is greeted by a gorgeous blonde with see through lingerie on. She leads him upstairs where they make love for an hour. When they're done she takes him downstairs where she cooks him a breakfast of pancakes,eggs and squeezed orange juice. As he's eating she gives him a card with $20 in it.

He's overwhelmed by all this and asks why. The blonde tells him You've been an amazing mailman over the years and when I heard you were retiring I asked my husband what we should do for you. He replied""Fuck him. Give him $20"" The Breakfast was my idea",BIGMc_LARGEHUGE,2013-08-11,0,0,610,0,0,0,0,162.5540489213005,10017,0,0,1
190137,Did you hear about that Air Asia flight? ||| Air traffic control didn't.,bottomlulz,2014-12-28,0,0,29,0,0,0,0,162.5540489213005,10017,0,0,1
9359,"I've got one two three four five senses working overtime... but they're salaried, sooo",bassoonjokes,2015-11-19 01:17:12,8,2,0,25.599297012302284,601,4.962214411247803,310,0,0,17614,2011-08-02 21:52:36,0
53377,Ass so large I get free refills,handsomeboiii,2013-10-22 16:19:32,2,0,0,2.5842482100238664,39,0.2739856801909308,11,0,0,185,2012-03-19 21:02:16,0
22368,"In quiet moments, I often wonder if I saved the fashion world, or if the fashion world saved me",bridger_w,2013-01-27 01:17:50,188,51,0,316.638807904114,20833,92.30029154518951,12198,0,0,83074,2009-05-07 21:53:35,0
1881,Whenever I'm feeling lonely it helps to remember that the shingles is already inside me,andyrichter,2016-01-06 18:35:56,638,159,0,520.209090909091,4695,123.47045454545454,2448,0,0,746534,2010-07-11 19:53:21,0
6804,"Can Mega Man beat this altruistic a-hole? Read ""The Enemies of Twenty-Something Mega Man II!""

http://t.co/oXHOys8qSr http://t.co/FrVrsZdlWB",asterios,2015-06-16 19:34:57,9,2,0,25.23008356545961,1780,8.106963788300837,1066,0,0,9256,2007-06-23 00:46:12,0
169201,"A priest a rabbi and a minister end up in Boise, Idaho. |||   A priest, a rabbi and a minister need to get to a religious conference in Pittsburgh, PA. They decided to fly as a group.

  The Priest wanted to take care of the arrangements. He walked into a travel agency, and explained to the owner that he'll need tickets and a hotel. A very attractive woman waved him into her office. She asked, ""Where is this trip taking you?"" The priest stunned by the woman's beauty blurts out, ""Titsburgh."" Ashamed he apologizes and explains that he is a man of the cloth. He walked straight out of the agency.

  The priest apologized to both the minister and the rabbi, and told them both that he will not be able to make arrangements for the trip.

  The rabbi, tells the priest not to worry and that he'll take care of the plans. The rabbi went to the same travel agency first thing that next morning. This time the same woman was at the front desk and told the rabbi, ""Good morning; how may I help you?"" The rabbi approached the desk, and said, ""Yes, hello. I would like to . . ."" Mid-sentence he noticed that the woman was not wearing a bra, and her nipples were hard. He closed his eyes, and suddenly he blurted out ""I need three tickets to Titsburgh."" He could not believe the words that left if his mouth. He sincerely apologized to the woman, and left.

  The next day the rabbi called the priest and the minister and told them that due to some unforeseen circumstances he won't be able to make the reservations. The minister understood, and took it upon himself to book the trip.

  The next morning after services, the minister went to the same travel agency. This time the woman was wearing a bikini, to promote Hawaii vacations. The minister walked up to the counter and asked for some assistance to book a trip for him and as his colleagues. The woman asked him to follow her to her office. As they sat down the woman shut the door. The minister sat down, and told her that he was so appalled by the travel agent's bikini, that he will turn his back to her until they complete the transaction, he turned his chair, the minister noticed a photo of the agent and her children hanging on the door. The woman asked, ""Well? Where are ya'll flying to?"" The minister said, ""Boys. . ."" He froze. The agent said, ""Oh that's fantastic! Boise, that's where I'm from!""",doubledutch6,2014-07-26,0,0,4,0,0,0,0,162.5540489213005,10017,0,0,1
124300,powerpoint presentation of my moodswings,sosadtoday,2015-01-30 01:50:18,797,573,0,1235.690639873083,4670,637.4833421470122,2687,0,0,320653,2012-07-02 19:56:37,0
34499,"#SignsYoureInTheFriendZone you wouuld describe yourself as ""a good listener"" oh and also youre a fuckin dildo",degg,2012-05-25 03:36:34,16,14,0,193.66524338172502,14721,61.00597779675491,6697,0,0,60801,2008-08-17 21:30:14,0
119200,HEY OHIO'S NOT THE ONLY THING THAT HAS AN 8 BILLION DOLLAR HOLE (WINK WINK) @DAVIDMUIR #GOPDEBATE,shutupandrosky,2016-02-07 02:22:41,2,0,0,15.42135761589404,335,2.619205298013245,221,0,0,7711,2008-02-25 18:59:30,0
137097,Ted Cruz fucked that bird,weismanjake,2016-03-26 01:19:54,97,8,0,105.81460674157303,3370,21.90449438202247,1673,0,0,36933,2009-10-19 20:52:38,0
147267,What did the lesbian mushroom say to the other lesbian mushroom during oral sex? ||| Umami.,joeyK06,2013-05-04,0,0,7,0,0,0,0,162.5540489213005,10017,0,0,1
